:norssi_3785 	owl:sameAs 	w:person_p8641 	.
:norssi_3837 	owl:sameAs 	w:person_p10371 	.
:norssi_4526 	owl:sameAs 	w:person_p517213 	.
:norssi_5510 	owl:sameAs 	w:person_p284884 	.
:norssi_5510 	owl:sameAs 	w:person_p526034 	.
:norssi_3726 	owl:sameAs 	w:person_p284884 	.
:norssi_4542 	owl:sameAs 	w:person_p512094 	.
:norssi_3430 	owl:sameAs 	w:person_p510515 	.
:norssi_1703 	owl:sameAs 	w:person_p511808 	.
:norssi_3667 	owl:sameAs 	w:person_3392 	.
:norssi_775 	owl:sameAs 	w:person_2071 	.
:norssi_3593 	owl:sameAs 	w:person_p9037 	.
:norssi_3797 	owl:sameAs 	w:person_p753459 	.
:norssi_2191 	owl:sameAs 	w:person_p259313 	.
:norssi_6245 	owl:sameAs 	w:person_p501038 	.
:norssi_2800 	owl:sameAs 	w:person_p509567 	.
:norssi_1596 	owl:sameAs 	w:person_p9727 	.
:norssi_3985 	owl:sameAs 	w:person_p519442 	.
:norssi_3749 	owl:sameAs 	w:person_p511027 	.
:norssi_1242 	owl:sameAs 	w:person_80 	.
:norssi_9555 	owl:sameAs 	w:person_p525415 	.
:norssi_3373 	owl:sameAs 	w:person_p525198 	.
:norssi_3373 	owl:sameAs 	w:person_p752741 	.
:norssi_3715 	owl:sameAs 	w:person_p753315 	.
:norssi_3716 	owl:sameAs 	w:person_p511397 	.
:norssi_4351 	owl:sameAs 	w:person_p284440 	.
:norssi_6940 	owl:sameAs 	w:person_p4530 	.
:norssi_4272 	owl:sameAs 	w:person_p501020 	.
:norssi_6613 	owl:sameAs 	w:person_p521294 	.
:norssi_2473 	owl:sameAs 	w:person_p752882 	.
:norssi_1334 	owl:sameAs 	w:person_680 	.
:norssi_1470 	owl:sameAs 	w:person_p8292 	.
:norssi_9329 	owl:sameAs 	w:person_p257069 	.
:norssi_8637 	owl:sameAs 	w:person_p513575 	.
:norssi_3246 	owl:sameAs 	w:person_p510667 	.
:norssi_3298 	owl:sameAs 	w:person_4559 	.
:norssi_3897 	owl:sameAs 	w:person_p510215 	.
:norssi_2727 	owl:sameAs 	w:person_p283688 	.
:norssi_500 	owl:sameAs 	w:person_p519272 	.
:norssi_1909 	owl:sameAs 	w:person_p500919 	.
