:norssi_877 	owl:sameAs 	<http://ldf.fi/history/kb/p968> 	.
:norssi_2546 	owl:sameAs 	<http://ldf.fi/history/kb/p146> 	.
:norssi_2471 	owl:sameAs 	<http://ldf.fi/history/kb/p1010> 	.
:norssi_3514 	owl:sameAs 	<http://ldf.fi/history/kb/p406> 	.
:norssi_1569 	owl:sameAs 	<http://ldf.fi/history/histo/p1825> 	.
:norssi_1942 	owl:sameAs 	<http://ldf.fi/history/kb/p802> 	.
:norssi_181 	owl:sameAs 	<http://ldf.fi/history/kb/p1901> 	.
:norssi_1026 	owl:sameAs 	<http://ldf.fi/history/kb/p2324> 	.
:norssi_3431 	owl:sameAs 	<http://ldf.fi/history/kb/p236> 	.
:norssi_5300 	owl:sameAs 	<http://ldf.fi/history/kb/p1605> 	.
:norssi_1488 	owl:sameAs 	<http://ldf.fi/history/kb/p768> 	.
:norssi_3567 	owl:sameAs 	<http://ldf.fi/history/kb/p20> 	.
:norssi_2211 	owl:sameAs 	<http://ldf.fi/history/kb/p3649> 	.
:norssi_598 	owl:sameAs 	<http://ldf.fi/history/histo/p4385> 	.
:norssi_3196 	owl:sameAs 	<http://ldf.fi/history/kb/p2401> 	.
:norssi_950 	owl:sameAs 	<http://ldf.fi/history/kb/p4177> 	.
:norssi_2556 	owl:sameAs 	<http://ldf.fi/history/kb/p4887> 	.
:norssi_1720 	owl:sameAs 	<http://ldf.fi/history/kb/p2101> 	.
:norssi_601 	owl:sameAs 	<http://ldf.fi/history/kb/p2383> 	.
:norssi_2072 	owl:sameAs 	<http://ldf.fi/history/kb/p1099> 	.
:norssi_270 	owl:sameAs 	<http://ldf.fi/history/kb/p1780> 	.
:norssi_2233 	owl:sameAs 	<http://ldf.fi/history/kb/p168> 	.
:norssi_7770 	owl:sameAs 	<http://ldf.fi/history/kb/p3084> 	.
:norssi_2753 	owl:sameAs 	<http://ldf.fi/history/histo/p4437> 	.
:norssi_435 	owl:sameAs 	<http://ldf.fi/history/histo/p3790> 	.
:norssi_3804 	owl:sameAs 	<http://ldf.fi/history/kb/p3635> 	.
:norssi_2520 	owl:sameAs 	<http://ldf.fi/history/kb/p1312> 	.
:norssi_447 	owl:sameAs 	<http://ldf.fi/history/kb/p2700> 	.
:norssi_4108 	owl:sameAs 	<http://ldf.fi/history/kb/p951> 	.
