uri	wikilink	description
norssi_6087	https://fi.wikipedia.org/wiki?curid=1319600	"""Martti Jaakko Juhani Enäjärvi (s. 14. elokuuta 1942 Helsinki) on suomalainen juristi, joka toimi Patentti- ja rekisterihallituksen (PRH) pääjohtajana..."""
norssi_180	https://fi.wikipedia.org/wiki?curid=53648	"""Pekka Elias Ervast (26. joulukuuta 1875 Helsinki – 22. toukokuuta 1934 Helsinki) oli okkultisti ja teosofian uranuurtajia Suomessa. Hän toimi..."""
norssi_2377	https://fi.wikipedia.org/wiki?curid=217783	"""Aarne Adrian Ervi (vuoteen 1935 Elers; 19. toukokuuta 1910 Forssa – 26. syyskuuta 1977 Helsinki) oli yksi sotien jälkeisen ajan merkittävimmistä..."""
norssi_6340	https://fi.wikipedia.org/wiki?curid=965221	"""Erkki Olavi Etola (s. 14. tammikuuta 1945 Helsinki) on suomalainen liikemies. Hän on koulutukseltaan diplomi-insinööri. Etola johtaa perheyritys..."""
norssi_3567	https://fi.wikipedia.org/wiki?curid=133421	"""Mauri Oskari Favén (26. elokuuta 1920 Tampere – 23. helmikuuta 2006 Helsinki) oli suomalainen taidemaalari. Hänen setänsä oli taidemaalari Antti..."""
norssi_181	https://fi.wikipedia.org/wiki?curid=10952	"""Adolf Jalmari Finne (11. elokuuta 1874 Kangasala – 3. tammikuuta 1938 Helsinki) oli suomalainen kirjailija, suomentaja, teatterinjohtaja sekä..."""
norssi_365	https://fi.wikipedia.org/wiki?curid=1065196	"""Johan Eino Ilmari Forsman (19. maaliskuuta 1879 Turku – 12. elokuuta 1958 Helsinki) oli suomalainen arkkitehti. Hän toimi Helsingissä kunnallisraatimiehenä..."""
norssi_6192	https://fi.wikipedia.org/wiki?curid=38447	"""Jaakko Lars Henrik Frösén (s. 9. tammikuuta 1944 Helsinki) on kreikkalaisen filologian professori Helsingin yliopistossa ja arvostettu suomalainen..."""
norssi_5750	https://fi.wikipedia.org/wiki?curid=155973	"""Lajos Garam (s. 10. kesäkuuta 1939 Eger) on unkarilaissyntyinen suomalainen viulutaiteilija, sellotaiteilija Károly Garamin veli.
Garam..."""
norssi_5982	https://fi.wikipedia.org/wiki?curid=155960	"""Károly Garam (s. 10. toukokuuta 1941 Eger) on unkarilais-suomalainen sellotaiteilija, viulutaiteilija Lajos Garamin veli. Garam opiskeli sellonsoittoa..."""
