id	snimi	enimet	birth_place	birth_date	death_place	death_date					
http://ldf.fi/history/kb/p4172	Anderson	Clyde Elmer	Yhdysvallat, Yhdysvallat, Minnesota, Minnesota	1912, 1912, 1912, 1912	Yhdysvallat, Minnesota, Yhdysvallat, Minnesota	1998, 1998, 1998, 1998
http://ldf.fi/history/kb/p2428	Andersson	Claes	Helsinki	1937			
http://ldf.fi/history/kb/p2505	Andersson	Edward	Helsinki	1933			
http://ldf.fi/history/kb/p3268	Andersson	Otto	Vårdö	1879	Turku	1969
http://ldf.fi/history/kb/p1731	Andersén	Harald	Helsinki	1919	Helsinki	2001
http://ldf.fi/history/kb/p5839	Andrejev	Leonid	Venäjä, Orel	1871, 1871	Viipuri, Viipuri	1919, 1919
http://ldf.fi/history/kb/p2275	Angerkoski	Siiri	Oulu	1902	Helsinki	1971
http://ldf.fi/history/kb/p5925	Angermannus	Abrahamus Andreae	Ruotsi, Ångermanland	1540, 1540	Ruotsi, Ruotsi	1607, 1607
http://ldf.fi/history/kb/p3650	Angervo	Tauno	Naantali	1908		2001
http://ldf.fi/history/kb/p2596	Anhava	Tuomas	Helsinki	1927	Helsinki	2001
http://ldf.fi/history/kb/p6207	Annala	Israel Simonpoika		1650		1710
http://ldf.fi/history/kb/p738	Annala	Vilho	Lapua	1888	Helsinki	1960
http://ldf.fi/history/histo/p2656	Annala	Vilho		1888		1960					
http://ldf.fi/history/histo/p4545	Anneli	Kivitie		1934		2004					
http://ldf.fi/history/kb/p927	Ant-Wuorinen	Olli	Helsinki	1904		1993
http://ldf.fi/history/kb/p2715	Ant-Wuorinen	Paavo	Helsinki	1897	Helsinki	1962
http://ldf.fi/history/kb/p4336	Antell	Herman Frithiof	Vaasa	1847	Ranska	1893
http://ldf.fi/history/kb/p2903	Anthoni	Eric	Helsinki	1893	Helsinki	1978
http://ldf.fi/history/kb/p924	Antikainen	Eero	Vehmersalmi, Vehmersalmi	1906, 1906	Ruotsi, Tukholma	1960, 1960
http://ldf.fi/history/kb/p1659	Antikainen	Toivo	Helsinki	1898	Neuvostoliitto	1941
http://ldf.fi/history/kb/p1836	Antila	Matti	Riihimäki	1926			
http://ldf.fi/history/kb/p5847	Antila	Toivo	Laihia	1910	Kurikka	1970
http://ldf.fi/history/kb/p6240	Antti	Aune	Lappeenranta	1901	Helsinki	1983
http://ldf.fi/history/kb/p5936	Anttila	Aarne	Lahti	1892	Helsinki	1952
http://ldf.fi/history/kb/p5403	Anttila	Aimo	Pori	1913		1969
http://ldf.fi/history/kb/p2285	Anttila	Akseli	Ruovesi, Ruovesi	1897, 1897	Neuvostoliitto, Moskova	1953, 1953
http://ldf.fi/history/histo/p2894	Anttila	Akseli		1897		1953					
http://ldf.fi/history/kb/p852	Anttila	Eva	Tampere	1894	Espoo	1993
http://ldf.fi/history/kb/p3411	Anttila	Hannes	Tampere	1893	Helsinki	1968
http://ldf.fi/history/kb/p432	Anttila	Inkeri	Viipuri	1916			
http://ldf.fi/history/kb/p2229	Anttila	Kaarlo	Helsinki, Helsinki, Helsinki	1926, 1926, 1926	Yhdysvallat, Florida, Palm beach	1993, 1993, 1993
http://ldf.fi/history/kb/p2336	Anttila	Kalle	Muhos	1887		1975
http://ldf.fi/history/kb/p3247	Anttila	Lauri	Oulu	1938			
